Name;Episode;Step;Drag;RecircArea;lift
Simu_lift;1;0;0.010719265;-0.16044717;-0.023734357
Simu_lift;1;100;0.0112866685;-0.15743881;0.009916633
Simu_lift;1;200;0.011325228;-0.16026069;0.048465937
Simu_lift;1;300;0.010823674;-0.15954342;0.040659457
Simu_lift;1;400;0.011383958;-0.15706727;0.011124704
Simu_lift;1;500;0.011280316;-0.15795282;-0.01881361
Simu_lift;1;600;0.011532209;-0.16019788;-0.015389811
Simu_lift;1;700;0.011741305;-0.15721701;0.015194319
Simu_lift;1;800;0.011995225;-0.15877767;0.035275467
Simu_lift;1;900;0.011699572;-0.1617132;0.03244964
Simu_lift;1;1000;0.011471319;-0.15892012;-0.00082428823
Simu_lift;1;1100;0.011236261;-0.15956168;-0.024969902
Simu_lift;1;1200;0.010442138;-0.16395444;-0.028072324
Simu_lift;1;1300;0.010405468;-0.16321993;0.0010207959
Simu_lift;1;1400;0.010266753;-0.16172059;0.03974765
Simu_lift;1;1500;0.009375523;-0.16989313;0.028062895
Simu_lift;1;1600;0.0090696905;-0.16996197;-0.03055809
Simu_lift;1;1700;0.0077518807;-0.17055422;-0.065289766
Simu_lift;1;1800;0.006395781;-0.17619853;-0.07817495
Simu_lift;1;1900;0.00705611;-0.17173326;-0.009681538
Simu_lift;1;2000;0.007326233;-0.17102408;0.0768277
Simu_lift;1;2100;0.006853116;-0.1739564;0.11145393
Simu_lift;1;2200;0.0071302946;-0.172122;0.045334484
Simu_lift;1;2300;0.008057242;-0.16394648;-0.017684296
Simu_lift;1;2400;0.008762014;-0.16637227;-0.0527561
Simu_lift;1;2500;0.008973906;-0.16620952;-0.041148145
Simu_lift;1;2600;0.009239272;-0.16474448;0.022446645
Simu_lift;1;2700;0.010043156;-0.16400062;0.09571732
Simu_lift;1;2800;0.008782681;-0.16481374;0.09483369
Simu_lift;1;2900;0.009682234;-0.1607597;0.028113179
Simu_lift;1;3000;0.010608444;-0.16133562;-0.03300265
Simu_lift;1;3100;0.009918046;-0.16457616;-0.062106587
Simu_lift;1;3200;0.009800083;-0.16236335;-0.023392633
Simu_lift;1;3300;0.010115431;-0.15849847;0.009613903
Simu_lift;1;3400;0.010331612;-0.16154616;0.05190568
